DistrictId,Ecology_1,Ecology_2,Ecology_3,Floor,Helthcare_2,HouseFloor,HouseYear,LifeSquare,Rooms,Shops_1,Shops_2,Social_3,Square,Kitchen1,Kitchen2,Kitchen3,Mean_room_square,Mean_room_Lsquare,Median_pps_per_district,Median_pps_per_Hyear,Median_pps_per_Hfloor,Median_pps_per_NRooms,Median_ppls_per_district,Median_ppls_per_Hyear,Median_ppls_per_Hfloor,Median_ppls_per_NRooms,Med_price_per_district,Med_price_per_Hyear,Med_price_per_Hfloor,Med_price_per_NRooms,Social_12
35,0.08903972,0,0,7.0,0,9.0,1969,29.44275,2,11,0,5,47.98156,1,0,0,23.99078,14.721375,4358.27490234375,4473.25537109375,4315.83203125,3900.695068359375,4358.27490234375,4473.25537109375,4315.83203125,3900.695068359375,203602.40625,191552.40625,195829.125,200320.75,0.8587400247194061
41,6.99893e-05,0,0,7.0,1,9.0,1978,40.04954,3,16,0,1,65.68364,0,1,0,21.894547,13.349847,4437.30419921875,4317.68505859375,4315.83203125,3854.768310546875,4437.30419921875,4317.68505859375,4315.83203125,3854.768310546875,210694.84375,216660.1875,195829.125,268864.5,1.1577569639425311
53,0.049637258,0,0,8.0,1,12.0,1968,29.19761,2,3,0,0,44.947952,0,0,0,22.473976,14.598805,4830.23388671875,4433.69970703125,4191.1552734375,3900.695068359375,4830.23388671875,4433.69970703125,4191.1552734375,3900.695068359375,245978.796875,190404.515625,197485.34375,200320.75,0.8607811618120897
58,0.43788525,0,0,8.0,0,17.0,1977,52.73151,2,5,0,3,53.35298,0,1,0,26.67649,26.365755,2949.975341796875,2892.705078125,3152.9189453125,3900.695068359375,2949.975341796875,2892.705078125,3152.9189453125,3900.695068359375,151557.90625,168658.34375,183447.625,200320.75,0.605127490694501
99,0.012338886,0,0,11.0,2,12.0,1976,23.776169,1,4,0,1,39.649193,0,1,0,39.649193,23.776169,3992.03125,4367.26318359375,4191.1552734375,3935.40087890625,3992.03125,4367.26318359375,4191.1552734375,3935.40087890625,178829.171875,210694.84375,197485.34375,155000.03125,0.7694572447149768
59,0.30947912,0,0,5.0,0,17.0,2011,46.68372,3,6,0,4,80.384476,0,0,1,26.794825,15.56124,4736.6318359375,3085.926025390625,3152.9189453125,3854.768310546875,4736.6318359375,3085.926025390625,3152.9189453125,3854.768310546875,318772.375,198105.875,183447.625,268864.5,0.871968479184974
154,0.4605564,0,0,3.0,1,5.0,1960,37.160378,2,5,0,14,62.254112,0,1,0,31.127056,18.580189,5445.4892578125,4485.7646484375,4170.19580078125,3900.695068359375,5445.4892578125,4485.7646484375,4170.19580078125,3900.695068359375,279053.9375,239493.015625,183167.921875,200320.75,0.49326789120603554
74,0.07577875,0,0,0.0,0,14.0,1977,79.68874,2,2,0,3,80.31293,0,0,0,40.156464,39.84437,3284.6943359375,2892.705078125,4155.375,3900.695068359375,3284.6943359375,2892.705078125,4155.375,3900.695068359375,195610.96875,168658.34375,203235.09375,200320.75,0.14817069250058942
1,0.007122317,0,0,9.0,0,17.0,1977,64.171265,2,1,0,0,64.51144,0,0,0,32.25572,32.085632,3248.401611328125,2892.705078125,3152.9189453125,3900.695068359375,3248.401611328125,2892.705078125,3152.9189453125,3900.695068359375,183663.4375,168658.34375,183447.625,200320.75,0.018588850547613438
23,0.07577875,0,0,13.0,0,17.0,2014,18.915552,1,2,0,3,46.46141,0,1,0,46.46141,18.915552,2269.940673828125,2784.1845703125,3152.9189453125,3935.40087890625,2269.940673828125,2784.1845703125,3152.9189453125,3935.40087890625,113789.5625,163774.5625,183447.625,155000.03125,0.14817069250058942
28,0.11853738,0,0,8.0,1,9.0,1973,27.922585,2,0,0,1,46.304905,1,0,0,23.152452,13.961292,4385.48876953125,4351.25146484375,4315.83203125,3900.695068359375,4385.48876953125,4351.25146484375,4315.83203125,3900.695068359375,199113.3125,202873.625,195829.125,200320.75,0.7246758257067536
31,0.0,0,0,1.0,0,8.0,1959,45.736904,3,4,0,2,68.80886,0,1,0,22.936287,15.245635,5480.21728515625,4736.26953125,4890.7685546875,3854.768310546875,5480.21728515625,4736.26953125,4890.7685546875,3854.768310546875,305054.5,225204.171875,242020.1875,268864.5,0.49669502968472046
13,0.0907991,0,0,8.0,5,12.0,1999,31.759752,2,15,0,2,54.522804,0,0,0,27.261402,15.879876,4273.7490234375,4324.265625,4191.1552734375,3900.695068359375,4273.7490234375,4324.265625,4191.1552734375,3900.695068359375,238492.078125,251546.375,197485.34375,200320.75,2.0
57,0.13321534,0,0,6.0,3,12.0,1980,39.311493,3,4,1,3,68.10274,0,1,0,22.700912,13.103831,4127.81103515625,4450.40087890625,4191.1552734375,3854.768310546875,4127.81103515625,4450.40087890625,4191.1552734375,3854.768310546875,200291.734375,195078.296875,197485.34375,268864.5,1.2557122546813269
27,0.072157584,0,0,4.0,0,5.0,1977,52.408028,1,0,1,1,53.769096,0,0,0,53.769096,52.408028,2752.188720703125,2892.705078125,4170.19580078125,3935.40087890625,2752.188720703125,2892.705078125,4170.19580078125,3935.40087890625,146171.4375,168658.34375,183167.921875,155000.03125,0.051399218409527686
85,0.03717782,0,0,4.0,1,9.0,1979,53.89209,3,7,0,1,73.61223,1,0,0,24.537409,17.96403,4452.22509765625,4379.783203125,4315.83203125,3854.768310546875,4452.22509765625,4379.783203125,4315.83203125,3854.768310546875,238979.875,214225.3125,195829.125,268864.5,1.2868422744711405
27,0.051815435,0,0,5.0,0,6.0,1983,31.993963,2,0,0,0,49.36065,1,0,0,24.680325,15.996982,2752.188720703125,4405.57470703125,4034.211181640625,3900.695068359375,2752.188720703125,4405.57470703125,4034.211181640625,3900.695068359375,146171.4375,213877.5625,184713.765625,200320.75,0.12355487922498233
34,0.069753364,0,0,6.0,1,14.0,2001,32.01248,2,11,0,4,57.969963,0,1,0,28.984982,16.00624,4266.41796875,4469.6865234375,4155.375,3900.695068359375,4266.41796875,4469.6865234375,4155.375,3900.695068359375,278693.75,237313.5,203235.09375,200320.75,1.4300412228247281
57,0.13321534,0,0,6.0,3,12.0,1983,23.113422,1,4,1,3,44.51348,0,1,0,44.51348,23.113422,4127.81103515625,4405.57470703125,4191.1552734375,3935.40087890625,4127.81103515625,4405.57470703125,4191.1552734375,3935.40087890625,200291.734375,213877.5625,197485.34375,155000.03125,1.2557122546813269
19,0.000991363,0,0,16.0,1,25.0,2012,56.996765,3,9,0,3,110.95979,0,0,1,36.9866,18.998922,4296.24853515625,3454.446533203125,3010.15673828125,3854.768310546875,4296.24853515625,3454.446533203125,3010.15673828125,3854.768310546875,195151.0,199556.859375,179235.28125,268864.5,0.7956683884518936
0,0.31980935,0,0,12.0,5,17.0,2002,47.799427,3,8,0,16,103.60529,0,1,0,34.5351,15.933143,3935.90673828125,4690.46630859375,3152.9189453125,3854.768310546875,3935.90673828125,4690.46630859375,3152.9189453125,3854.768310546875,165963.0625,247601.265625,183447.625,268864.5,0.5803966535925299
27,0.21140121,0,0,1.0,0,15.0,1977,55.441257,2,1,0,0,64.71184,0,0,0,32.35592,27.720629,2752.188720703125,2892.705078125,3558.5107421875,3900.695068359375,2752.188720703125,2892.705078125,3558.5107421875,3900.695068359375,146171.4375,168658.34375,195271.90625,200320.75,0.21276621585899938
48,0.041124634,0,0,19.0,1,22.0,1996,20.207762,1,10,0,5,41.668648,0,1,0,41.668648,20.207762,5063.013671875,4287.09765625,4163.1494140625,3935.40087890625,5063.013671875,4287.09765625,4163.1494140625,3935.40087890625,240288.28125,237747.78125,236293.1875,155000.03125,1.1157796972229963
54,0.006076152,0,0,0.0,6,2.0,1977,43.399456,3,6,0,0,118.90761,0,0,0,39.635868,14.466485,4802.62841796875,2892.705078125,2368.18359375,3854.768310546875,4802.62841796875,2892.705078125,2368.18359375,3854.768310546875,351112.0,168658.34375,176474.59375,268864.5,0.6759314429417522
150,0.020741327,0,0,4.0,2,5.0,1964,44.169693,3,5,0,5,62.180534,1,0,0,20.726845,14.723231,4171.40576171875,4409.37646484375,4170.19580078125,3854.768310546875,4171.40576171875,4409.37646484375,4170.19580078125,3854.768310546875,193589.53125,191246.71875,183167.921875,268864.5,0.6121910967271792
74,0.07577875,0,0,16.0,0,17.0,1977,79.68874,2,2,0,3,82.667915,0,0,0,41.333958,39.84437,3284.6943359375,2892.705078125,3152.9189453125,3900.695068359375,3284.6943359375,2892.705078125,3152.9189453125,3900.695068359375,195610.96875,168658.34375,183447.625,200320.75,0.14817069250058942
27,0.072157584,0,0,0.0,0,17.0,2018,64.18221,3,0,1,1,106.95887,0,0,0,35.652958,21.394072,2752.188720703125,3124.874755859375,3152.9189453125,3854.768310546875,2752.188720703125,3124.874755859375,3152.9189453125,3854.768310546875,146171.4375,189331.640625,183447.625,268864.5,0.051399218409527686
23,0.07577875,0,0,8.0,0,17.0,1977,60.24293,2,2,0,3,64.556206,0,0,0,32.278103,30.121466,2269.940673828125,2892.705078125,3152.9189453125,3900.695068359375,2269.940673828125,2892.705078125,3152.9189453125,3900.695068359375,113789.5625,168658.34375,183447.625,200320.75,0.14817069250058942
23,0.03465608,0,0,3.0,0,9.0,2014,42.530045,1,0,0,0,43.96776,0,0,0,43.96776,42.530045,2269.940673828125,2784.1845703125,4315.83203125,3935.40087890625,2269.940673828125,2784.1845703125,4315.83203125,3935.40087890625,113789.5625,163774.5625,195829.125,155000.03125,0.0
11,0.000169676,0,0,4.0,1,9.0,1972,31.007582,2,1,0,0,48.37223,1,0,0,24.186115,15.503791,4134.353515625,4285.7939453125,4315.83203125,3900.695068359375,4134.353515625,4285.7939453125,4315.83203125,3900.695068359375,202852.921875,201105.3125,195829.125,200320.75,0.7943902665552149
50,0.007658515,0,0,9.0,3,9.0,1965,23.377687,2,19,0,56,39.435352,0,1,0,19.717676,11.688844,7203.64990234375,4366.78125,4315.83203125,3900.695068359375,7203.64990234375,4366.78125,4315.83203125,3900.695068359375,281757.875,183592.140625,195829.125,200320.75,0.8382386351458517
61,0.30032253,0,0,12.0,1,16.0,1984,19.343185,1,9,0,6,41.765156,0,1,0,41.765156,19.343185,4528.0205078125,4624.41748046875,4517.447265625,3935.40087890625,4528.0205078125,4624.41748046875,4517.447265625,3935.40087890625,222772.78125,228501.515625,225625.59375,155000.03125,1.2389437812118227
27,0.017647052,0,0,9.0,0,15.0,1977,37.275776,2,0,0,0,63.679115,0,0,0,31.839558,18.637888,2752.188720703125,2892.705078125,3558.5107421875,3900.695068359375,2752.188720703125,2892.705078125,3558.5107421875,3900.695068359375,146171.4375,168658.34375,195271.90625,200320.75,0.04294032335269449
