Id,Price
725,160932.2947971243
15856,225409.43454423177
5480,248526.3715296448
15664,336160.7364262743
14275,143426.62270385635
7633,271980.93781497976
13329,168867.64139978265
5502,220366.01077062398
4220,294729.77596431924
11538,194084.31882967666
15975,265606.7511036222
3310,217096.3448043712
9286,147039.03605534046
11260,192659.51813058017
5214,102893.98793063198
11307,188155.88871645177
13543,412151.91394800413
615,173969.6604711781
3495,221462.54757034293
2321,224040.55962723165
12046,206706.29452827323
16688,150954.49698433664
12694,244948.66400125445
783,151382.02245745022
8968,162892.64238677762
13454,178251.2221974533
12190,243630.9573266502
11160,110871.70370552878
10291,196478.08079867152
891,280987.7003034583
2982,184212.9980264312
3818,265700.57259637915
2449,203739.81595150818
8317,161733.76008197697
4922,186911.69383106372
1257,228492.3869702239
9348,224231.2790045433
4176,184108.01324698422
10704,154131.61406268034
6624,118376.23865686345
5428,178668.26481436702
12749,178570.07278216042
8994,192684.98148401396
11513,139054.8566986721
3047,188893.98053323483
9519,196299.93992579984
12309,249994.15623425308
14081,255773.044475547
8334,263792.9005787548
6343,178051.48898456016
14788,127453.08879078589
15748,225771.633063277
153,252276.278406052
14149,190996.4729718598
269,179325.75450716604
5452,130093.32658853913
721,132505.40206300997
5079,343859.11249660084
2831,123589.06412068308
10614,107565.14996727995
10131,345399.7865992178
9996,259932.49832905704
3061,188396.34912508138
11733,322326.1711299274
3726,254640.8873508037
10929,218226.1591209158
9011,124108.81249504087
16182,324156.8795316001
4976,180483.3759623416
9897,253991.25825065884
1872,149456.11666704286
9205,395662.975284297
5403,418778.596613487
14074,214132.4177179394
6268,151907.34700103584
14232,163320.8328157466
8532,235379.97291119889
7034,378419.34953026054
6553,499540.90328708885
3133,168854.7117776214
8596,201195.52419924355
12389,260197.90089741527
14462,176891.2235967078
8860,341523.2114388839
8377,249532.51856917804
6367,293379.1297989516
6917,245674.57907583346
4216,220161.58936393762
5806,173515.47550718224
5438,185190.15540167407
6632,215084.73109867517
2650,140531.82118897143
5396,187657.8321077515
4044,156780.82533828542
1345,251530.77814070546
856,171360.1859375301
12791,286954.2540417334
12499,211829.66547816095
12249,130557.28514266525
14641,144887.58113355102
1919,163547.78706207767
7848,202518.82982149383
10749,191001.9743908403
15554,174605.1470700847
15834,217366.25659329223
1355,157915.6231131156
15451,199596.611457926
12401,198903.11010958411
10290,173907.61909433117
9462,127005.36251949158
3103,240625.9429289875
3420,117247.70643940374
12262,242309.63430430277
5032,151183.60193065394
8949,308378.6007645937
15567,225623.7585324884
16389,159888.17251571143
7809,84289.5164515007
8990,166039.82279067367
16089,280416.82057924615
12743,102383.69082750232
5132,128742.30988034136
1619,278009.1304620139
2428,87786.2943341393
16741,156915.04732763412
13193,204259.63557105392
12588,521302.2408990996
5067,168421.58698350328
14685,128054.98164247676
2292,155940.29770573362
5746,123585.16310085353
12578,165775.34283629272
14834,173896.97647100064
2147,169618.0791017533
8222,132275.9137724461
10419,259030.95591417202
11492,251249.7623051843
3006,222958.5255895878
8761,203670.2729324828
15371,346347.10123795184
16367,154337.4911822988
6317,269173.2741824366
10878,276244.7691473308
3895,155391.82025200868
8041,185397.98774045878
13428,489159.3860308989
14669,128619.33419387146
1006,181374.20431847134
12271,175815.12568802532
3764,359395.9726011351
7675,198422.66558459125
11709,321197.9053707288
8629,150967.6008579643
1105,304046.88848641416
6096,189829.70496895912
11727,210681.24055555664
5157,162141.36895543768
3679,135759.5453424866
1755,128255.20946661338
7391,165702.3681451289
7425,101441.05269125944
6882,452605.44223306736
10752,256666.39953554227
7472,227285.8004264332
14320,94865.24173502793
9596,165082.42081799035
5317,208287.2340324639
7378,90807.91041840962
16154,185140.56401507853
3464,202296.91337733954
4197,247820.0060497323
